User_Age,User_Gender,User_Marital_Status,User_City_Category,User_Stay,User_Favourite_Category,User_Favourite_Product,User_Favourite_Subcategory,Purchase_Avg
36-45,F,1,B,2,16,P00093340,9.0,5164.058823529412
46-50,F,1,B,3,3,P00019327,10.0,13261.97435897436
55+,F,1,C,5+,11,P00045213,7.0,6877.809523809524
36-45,M,0,B,1,17,P00017147,30.0,3920.4375
46-50,F,1,B,2,3,P00034573,42.0,9779.5
0-17,M,0,A,1,3,P00080114,36.0,5353.35294117647
51-55,F,1,C,3,8,P00005057,6.0,7060.0
46-50,M,1,A,2,11,P00055541,28.0,8457.295454545454
46-50,F,1,B,2,10,P00012687,9.0,2857.3636363636365
46-50,F,1,B,4,3,P00000947,7.0,12589.736842105263
26-35,M,0,A,1,3,P00003382,20.0,11507.756756756757
26-35,M,0,A,5+,17,P00000549,40.0,8529.279069767443
26-35,M,0,A,2,9,P00001790,14.0,7426.0
36-45,M,0,A,5+,11,P00000925,30.0,5240.448979591837
26-35,M,0,A,1,3,P00004270,10.0,13421.853658536585
26-35,M,0,A,2,20,P00004649,13.0,12349.514285714286
51-55,F,1,C,4,3,P00002627,36.0,8429.6
0-17,M,0,A,4,5,P00009690,20.0,2265.6363636363635
55+,F,1,C,1,4,P00000809,20.0,2274.5
51-55,F,1,C,4,3,P00001383,7.0,7947.282608695652
46-50,F,1,B,2,10,P00010737,16.0,7668.722222222223
55+,F,1,C,5+,3,P00000770,28.0,6640.833333333333
26-35,M,0,A,1,3,P00001229,4.0,5061.235294117647
55+,F,1,C,5+,3,P00029278,7.0,9520.025
26-35,M,0,A,2,7,P00008171,7.0,9923.5
18-25,M,0,A,1,16,P00009330,30.0,1858.25
26-35,M,0,A,1,3,P00002627,35.0,11899.322580645161
36-45,M,0,A,4,11,P00000526,40.0,6643.4
0-17,M,0,A,2,4,P00002002,3.0,4551.428571428572
46-50,M,1,B,3,6,P00054357,27.0,7529.139534883721
26-35,M,0,A,1,18,P00006603,7.0,13842.358974358975
51-55,F,1,B,3,9,P00000238,30.0,8588.5
46-50,M,1,A,2,20,P00000337,20.0,12051.2
36-45,M,0,B,2,8,P00004622,18.0,6213.65
46-50,F,1,B,3,8,P00012621,9.0,4761.866666666667
55+,F,1,C,4,8,P00000205,10.0,5986.285714285715
26-35,M,0,A,1,12,P00004622,35.0,7099.285714285715
55+,F,1,C,2,4,P00000795,40.0,1511.25
55+,F,1,C,5+,8,P00000070,20.0,6531.7
36-45,F,1,B,1,3,P00001853,6.0,3716.5333333333333
26-35,M,0,A,2,3,P00007305,20.0,11653.025
55+,F,1,C,1,10,P00004270,24.0,4826.866666666667
46-50,F,1,B,3,3,P00055038,7.0,12490.190476190477
55+,F,1,C,5+,3,P00014365,27.0,8304.194444444445
26-35,M,0,A,5+,3,P00013089,20.0,11397.209302325582
55+,F,1,C,3,12,P00024866,39.0,11677.222222222223
26-35,M,0,A,4,3,P00088589,27.0,7001.25
46-50,F,1,C,2,14,P00082148,27.0,5296.0
46-50,M,1,A,5+,11,P00059189,28.0,7576.52
55+,F,1,C,5+,11,P00000221,10.0,7622.857142857143
55+,F,1,C,2,17,P00000718,8.0,4460.8
26-35,M,0,A,5+,11,P00001029,36.0,5098.813953488372
51-55,F,1,B,3,10,P00006962,9.0,5079.75
26-35,M,0,A,1,17,P00002733,36.0,4102.684210526316
51-55,F,1,C,2,5,P00014993,4.0,7115.176470588235
26-35,M,0,A,2,3,P00055340,28.0,12838.60606060606
36-45,F,1,B,2,5,P00000518,28.0,1281.157894736842
26-35,M,0,A,1,13,P00095328,44.0,9815.06976744186
51-55,F,1,B,5+,3,P00000070,27.0,7512.309523809524
26-35,M,0,A,1,12,P00006347,18.0,8424.5
46-50,M,1,B,5+,11,P00000404,10.0,7873.181818181818
36-45,F,1,B,4,12,P00001156,3.0,8445.2
26-35,M,0,A,2,3,P00092450,28.0,12349.021739130434
36-45,M,1,A,1,13,P00001282,13.0,12777.741935483871
46-50,F,1,B,3,18,P00083623,18.0,13141.488888888889
51-55,F,1,C,1,13,P00041436,11.0,14937.422222222222
46-50,M,1,A,4,12,P00000105,20.0,7635.7959183673465
0-17,M,0,A,2,5,P00002264,27.0,5523.133333333333
55+,F,1,C,1,5,P00006705,28.0,3654.846153846154
46-50,M,1,B,1,12,P00008131,9.0,8137.45652173913
51-55,F,1,C,1,10,P00001039,4.0,4433.7
18-25,M,0,A,2,4,P00006347,6.0,4284.0
55+,F,1,C,4,10,P00037226,7.0,6520.46
46-50,M,1,A,5+,3,P00057355,36.0,6720.938775510204
36-45,M,0,A,2,3,P00009929,5.0,12097.727272727272
55+,F,1,C,1,16,P00005311,18.0,1751.0
46-50,M,1,A,5+,11,P00056609,40.0,7574.622222222222
36-45,M,1,A,5+,3,P00003227,14.0,11138.35
26-35,M,0,A,3,3,P00002538,18.0,11773.8125
36-45,M,1,A,1,3,P00023477,20.0,12959.416666666666
26-35,M,0,B,1,10,P00003936,4.0,3978.0
26-35,M,0,B,1,3,P00002152,40.0,5932.0625
0-17,M,0,A,1,16,P00017299,20.0,3418.4
26-35,M,0,A,4,17,P00000610,30.0,8042.12
51-55,F,1,B,1,3,P00020845,44.0,14088.9
36-45,M,0,A,4,3,P00012617,4.0,6423.227272727273
55+,F,1,C,2,17,P00009929,30.0,3858.2
26-35,M,0,A,4,17,P00037149,10.0,7835.163265306122
0-17,M,0,A,2,10,P00005758,4.0,1972.4166666666667
46-50,M,1,A,3,3,P00009397,7.0,7906.739130434783
18-25,M,0,A,3,17,P00000404,24.0,5025.636363636364
51-55,F,1,C,2,20,P00001383,6.0,6189.05
36-45,M,0,B,1,17,P00081143,24.0,3952.9411764705883
0-17,M,0,A,1,5,P00001110,16.0,4024.9
26-35,M,0,A,2,3,P00005857,20.0,12799.714285714286
51-55,F,1,C,5+,3,P00003072,40.0,7473.790697674419
46-50,F,1,B,2,17,P00003658,36.0,2542.529411764706
26-35,M,0,A,4,3,P00000573,40.0,11455.918367346938
46-50,F,1,B,5+,3,P00019327,40.0,11861.895833333334
51-55,F,1,C,2,5,P00022688,30.0,7253.666666666667
36-45,M,1,A,4,18,P00046817,42.0,12554.673469387755
36-45,M,1,A,5+,13,P00002352,20.0,13603.5
51-55,F,1,B,4,3,P00086813,20.0,6838.851063829788
0-17,M,0,A,2,4,P00003235,16.0,1198.4444444444443
26-35,M,0,A,4,8,P00006542,10.0,12303.266666666666
26-35,M,0,A,5+,3,P00042825,13.0,13586.941176470587
51-55,F,1,B,1,3,P00039784,7.0,12206.51282051282
26-35,M,0,B,1,16,P00008131,14.0,4756.764705882353
18-25,M,0,A,2,4,P00012080,16.0,6463.666666666667
46-50,F,1,B,5+,3,P00003982,21.0,9305.975609756097
26-35,M,0,A,4,3,P00079475,40.0,13455.888888888889
18-25,M,0,A,2,10,P00027896,40.0,4789.333333333333
36-45,F,1,B,1,10,P00012783,7.0,5754.133333333333
55+,F,1,C,1,10,P00008353,42.0,4231.5
51-55,F,1,C,2,19,P00072677,40.0,10670.454545454546
26-35,M,0,A,4,3,P00021723,40.0,12978.977777777778
26-35,M,0,B,3,6,P00002002,6.0,4621.35294117647
0-17,M,0,A,1,5,P00064596,6.0,6303.3
36-45,M,0,B,2,3,P00008564,6.0,6103.615384615385
51-55,F,1,C,2,4,P00000285,24.0,1016.2142857142857
46-50,M,1,B,3,11,P00001575,13.0,10616.146341463415
36-45,M,1,A,5+,18,P00034573,42.0,13303.538461538461
55+,F,1,C,2,20,P00004622,40.0,11407.021739130434
46-50,M,1,B,1,12,P00006705,36.0,6852.0
36-45,M,0,A,2,3,P00001576,20.0,11780.612244897959
26-35,M,0,A,4,18,P00034489,30.0,11192.08695652174
46-50,M,1,A,4,6,P00080853,42.0,11429.72340425532
26-35,M,0,A,4,10,P00001409,14.0,7129.880952380952
46-50,M,1,B,2,12,P00030158,9.0,7610.023809523809
55+,F,1,C,2,10,P00002627,4.0,4347.153846153846
46-50,M,1,A,5+,3,P00047031,36.0,6398.790697674419
26-35,M,0,A,2,5,P00011129,20.0,6197.263157894737
51-55,F,1,B,1,12,P00087756,7.0,6404.944444444444
26-35,M,0,A,4,3,P00001455,18.0,6876.45
36-45,M,1,A,1,3,P00001409,21.0,6648.625
36-45,M,0,A,4,8,P00005989,7.0,7566.521739130435
36-45,M,0,A,5+,17,P00000925,18.0,5352.285714285715
18-25,M,0,A,1,10,P00000718,18.0,3994.0
51-55,F,1,C,3,5,P00005612,28.0,2219.5
51-55,F,1,C,4,11,P00010273,9.0,7600.384615384615
26-35,M,0,A,3,3,P00006347,40.0,12493.67441860465
18-25,M,0,A,5+,17,P00001039,7.0,4325.6875
26-35,M,0,B,5+,5,P00011310,40.0,5311.181818181818
26-35,M,0,A,2,10,P00063082,22.0,11456.787878787878
46-50,M,1,B,4,12,P00000573,10.0,7004.489361702128
46-50,F,1,B,2,3,P00015036,30.0,10727.9
36-45,M,0,A,3,3,P00001156,20.0,9569.941176470587
55+,F,1,C,5+,12,P00001575,21.0,8433.85
18-25,M,0,A,5+,17,P00002675,24.0,4152.55
46-50,M,1,B,4,12,P00007255,27.0,7088.98
51-55,F,1,B,3,6,P00005621,27.0,6219.0
36-45,M,0,A,4,3,P00001576,10.0,7081.8
46-50,F,1,B,5+,3,P00014175,40.0,7455.941176470588
36-45,M,0,B,1,10,P00028084,20.0,7108.083333333333
46-50,M,1,B,1,3,P00002370,7.0,13506.609756097561
26-35,M,0,A,3,3,P00002627,42.0,13166.617647058823
18-25,M,0,A,5+,5,P00002002,7.0,4726.05
55+,F,1,C,5+,3,P00062718,24.0,13347.371428571429
55+,F,1,C,2,4,P00019881,18.0,5758.875
51-55,F,1,C,1,3,P00027739,40.0,8214.076923076924
36-45,M,1,A,3,3,P00071397,14.0,11942.739130434782
55+,F,1,C,4,12,P00000101,20.0,7627.173913043478
46-50,F,1,C,2,5,P00000549,40.0,1778.3529411764705
36-45,M,0,A,4,19,P00027480,21.0,14314.951219512195
46-50,F,1,B,5+,14,P00055511,30.0,7226.466666666666
46-50,M,1,B,5+,1,P00006469,9.0,7350.0952380952385
26-35,M,0,A,5+,12,P00062718,9.0,7300.28
36-45,M,0,A,5+,12,P00057930,7.0,6752.3
0-17,M,0,A,1,4,P00005394,16.0,3646.470588235294
46-50,F,1,B,4,3,P00001575,35.0,11701.3
36-45,F,1,B,4,5,P00005627,24.0,6395.307692307692
55+,F,1,C,5+,20,P00082828,42.0,14781.864864864865
36-45,M,1,A,5+,3,P00092156,7.0,11579.871794871795
18-25,M,0,A,2,5,P00006213,7.0,3308.230769230769
36-45,M,1,A,2,3,P00000947,36.0,11161.953488372093
36-45,M,1,A,3,3,P00032596,18.0,10883.94
18-25,M,0,A,1,4,P00001457,12.0,2645.785714285714
55+,F,1,C,2,10,P00013845,6.0,4563.705882352941
18-25,M,0,A,2,15,P00010231,16.0,3823.157894736842
55+,F,1,C,4,12,P00002274,7.0,7972.533333333334
55+,F,1,C,3,10,P00008010,36.0,2713.733333333333
46-50,M,1,B,4,12,P00085727,24.0,5165.125
36-45,M,0,B,2,5,P00000610,24.0,2432.0
26-35,M,0,A,5+,12,P00003708,36.0,5731.734693877551
36-45,M,0,B,2,17,P00003448,20.0,4964.5
18-25,M,0,A,1,15,P00000795,4.0,1514.3333333333333
26-35,M,0,A,4,3,P00036138,44.0,12533.2
51-55,F,1,C,5+,17,P00002387,5.0,7627.357142857143
46-50,M,1,B,4,3,P00036068,10.0,5989.931818181818
26-35,M,0,B,1,10,P00000947,18.0,4518.5
18-25,M,0,A,1,4,P00001575,20.0,3693.1666666666665
51-55,F,1,B,5+,3,P00000936,40.0,5147.9
46-50,F,1,C,2,15,P00004911,12.0,3288.9444444444443
55+,F,1,C,1,16,P00007161,7.0,8514.466666666667
55+,F,1,C,2,17,P00007992,4.0,3136.5833333333335
46-50,M,1,B,4,3,P00091180,7.0,10390.8
36-45,F,1,B,1,17,P00000953,16.0,3592.0
26-35,M,0,B,1,4,P00016126,12.0,5914.5
55+,F,1,C,3,12,P00000070,28.0,7513.575
36-45,M,1,A,4,3,P00096539,35.0,12019.777777777777
26-35,M,0,A,3,11,P00003492,40.0,7999.644444444444
0-17,M,0,A,1,5,P00024740,42.0,1507.3
46-50,F,1,B,5+,9,P00000148,20.0,8059.5625
36-45,M,0,A,2,18,P00096841,42.0,11821.872340425532
0-17,M,0,A,2,4,P00018406,6.0,7054.615384615385
36-45,M,1,A,3,18,P00043389,10.0,13206.720930232557
46-50,M,1,B,4,1,P00062316,18.0,8003.125
55+,F,1,C,1,13,P00043044,42.0,14144.7
36-45,M,1,A,2,3,P00000947,14.0,13535.813953488372
26-35,M,0,A,1,3,P00003982,20.0,13108.439024390244
26-35,M,0,A,4,3,P00096342,30.0,9645.081081081082
18-25,M,0,A,2,10,P00000518,9.0,7601.5
36-45,M,1,A,4,3,P00000404,14.0,11203.244444444445
0-17,M,0,A,2,17,P00007851,4.0,3133.0666666666666
26-35,M,0,A,3,13,P00014365,21.0,12348.755555555555
18-25,M,0,A,5+,16,P00030955,32.0,1817.2
18-25,M,0,A,4,8,P00086305,30.0,5379.9
36-45,M,1,A,1,3,P00001802,40.0,10659.645161290322
55+,F,1,C,5+,9,P00079735,9.0,7602.066666666667
36-45,M,1,A,4,3,P00000070,40.0,11644.775510204081
46-50,M,1,A,4,3,P00016119,42.0,7947.311111111111
51-55,F,1,B,5+,12,P00068387,35.0,7127.681818181818
46-50,F,1,B,2,3,P00004752,15.0,11855.953488372093
26-35,M,0,A,5+,11,P00000215,18.0,7569.446808510638
51-55,F,1,C,1,3,P00001802,4.0,3978.125
36-45,M,0,A,4,3,P00052838,30.0,10372.111111111111
51-55,F,1,B,5+,3,P00056859,20.0,11747.239130434782
46-50,M,1,A,1,3,P00001575,40.0,12367.767441860466
36-45,M,0,A,5+,3,P00040834,30.0,8226.782608695652
46-50,F,1,B,3,19,P00001398,30.0,10045.232558139534
55+,F,1,C,2,15,P00005606,20.0,4984.214285714285
51-55,F,1,B,3,12,P00010770,7.0,9870.314285714287
0-17,M,0,A,1,4,P00004622,36.0,4733.3125
36-45,M,1,A,5+,10,P00000947,27.0,6824.322580645161
26-35,M,0,A,1,10,P00011935,20.0,6869.0
46-50,F,1,B,5+,3,P00056964,42.0,10567.44
26-35,M,0,A,5+,20,P00024091,20.0,13376.85
51-55,F,1,B,4,3,P00043318,36.0,9476.234042553191
26-35,M,0,A,4,11,P00000148,18.0,6742.74
36-45,M,1,A,2,3,P00031009,42.0,11255.844444444445
46-50,F,1,B,5+,3,P00048169,10.0,12694.166666666666
55+,F,1,C,5+,3,P00000221,42.0,6355.547619047619
36-45,M,1,A,3,20,P00043389,20.0,13603.488372093023
55+,F,1,C,4,3,P00069589,35.0,10070.60465116279
51-55,F,1,C,1,10,P00008353,10.0,2941.8823529411766
51-55,F,1,C,2,10,P00000573,12.0,4020.0555555555557
26-35,M,0,A,1,13,P00006347,7.0,10136.757575757576
36-45,M,0,A,5+,12,P00078595,27.0,8043.738095238095
36-45,M,1,A,4,8,P00000148,10.0,8212.046511627907
36-45,M,0,A,5+,3,P00089394,36.0,6497.65306122449
36-45,M,0,B,4,17,P00001457,12.0,3714.3888888888887
51-55,F,1,C,3,3,P00000070,20.0,6835.875
18-25,M,0,A,1,2,P00004622,18.0,4848.9
26-35,M,0,A,2,10,P00002815,35.0,9227.5
51-55,F,1,B,5+,19,P00028582,20.0,9915.448979591836
46-50,M,1,B,4,3,P00054120,7.0,6481.369565217391
36-45,M,1,A,4,3,P00000101,40.0,12359.07142857143
55+,F,1,C,3,3,P00000148,27.0,12212.224489795919
46-50,F,1,B,5+,18,P00053512,44.0,11918.967741935483
51-55,F,1,C,4,12,P00008016,20.0,6658.658536585366
36-45,F,1,B,1,12,P00017122,21.0,7032.666666666667
55+,F,1,C,2,5,P00006172,18.0,4117.777777777777
46-50,M,1,B,5+,8,P00035105,10.0,4863.306122448979
26-35,M,0,A,2,10,P00008604,44.0,3883.3636363636365
55+,F,1,C,2,3,P00037299,40.0,11736.020408163266
36-45,M,1,A,3,3,P00000101,20.0,12339.14
46-50,F,1,B,2,5,P00000205,42.0,5227.315789473684
36-45,F,1,B,2,10,P00012080,8.0,4676.368421052632
51-55,F,1,B,4,3,P00066889,36.0,8698.666666666666
46-50,M,1,A,5+,3,P00091005,44.0,12415.604166666666
51-55,F,1,C,5+,10,P00091112,20.0,11662.404761904761
26-35,M,0,B,1,16,P00001976,44.0,5121.894736842105
46-50,M,1,B,4,3,P00000105,36.0,7079.7
26-35,M,0,A,2,3,P00094639,28.0,10845.162790697674
46-50,M,1,B,5+,8,P00000526,36.0,6317.818181818182
18-25,M,0,A,4,10,P00001575,16.0,5962.117647058823
55+,F,1,C,1,3,P00024477,28.0,11593.489361702128
55+,F,1,C,4,3,P00005818,20.0,6241.44
36-45,F,1,B,5+,17,P00085051,28.0,3281.222222222222
36-45,M,1,A,5+,3,P00004898,21.0,12237.186046511628
51-55,F,1,B,4,12,P00000238,9.0,5704.617021276596
51-55,F,1,C,5+,10,P00006684,12.0,5539.65306122449
26-35,M,0,A,2,3,P00005818,21.0,15921.58064516129
0-17,M,0,A,1,5,P00005394,36.0,3549.4736842105262
51-55,F,1,B,4,3,P00060834,7.0,6125.55
51-55,F,1,B,3,3,P00043044,14.0,9924.16
26-35,M,0,A,3,3,P00000105,7.0,12438.642857142857
46-50,M,1,A,5+,3,P00000101,7.0,9904.934782608696
36-45,F,1,B,1,5,P00008627,40.0,4499.166666666667
36-45,M,1,A,1,19,P00000101,26.0,10899.1875
55+,F,1,C,3,13,P00003063,35.0,10460.84090909091
46-50,F,1,B,3,14,P00000148,20.0,9740.0
46-50,F,1,B,3,3,P00000337,4.0,11388.15
55+,F,1,C,4,12,P00001409,10.0,7503.0
36-45,M,1,A,5+,3,P00000101,18.0,4578.897959183673
55+,F,1,C,1,11,P00000070,10.0,6357.1463414634145
51-55,F,1,C,4,11,P00079290,36.0,7534.772727272727
36-45,M,0,B,1,1,P00018831,24.0,2953.090909090909
55+,F,1,C,2,19,P00091846,21.0,11516.9
36-45,M,1,B,3,12,P00013131,8.0,5483.166666666667
51-55,F,1,C,4,3,P00000105,21.0,6380.767441860465
36-45,M,0,A,1,3,P00013089,28.0,9905.826086956522
46-50,F,1,B,4,3,P00001409,30.0,9268.368421052632
46-50,M,1,B,1,3,P00073478,7.0,7331.510204081633
26-35,M,0,A,4,11,P00002264,28.0,8946.42857142857
26-35,M,0,A,2,6,P00009159,27.0,9181.9
26-35,M,0,A,4,3,P00005627,14.0,13853.217391304348
26-35,M,0,A,5+,3,P00003658,36.0,10663.977272727272
51-55,F,1,B,4,12,P00001383,18.0,6829.8536585365855
51-55,F,1,B,5+,16,P00000518,24.0,6675.488372093023
36-45,M,1,A,2,13,P00077940,11.0,14346.875
36-45,M,1,A,2,19,P00046817,20.0,13361.923076923076
51-55,F,1,B,3,10,P00082670,10.0,8417.76923076923
46-50,F,1,B,1,9,P00000925,6.0,8152.642857142857
46-50,M,1,B,4,1,P00077787,36.0,5708.292682926829
55+,F,1,C,4,3,P00000148,27.0,7720.244897959184
26-35,M,0,A,3,3,P00000148,27.0,7053.577777777778
46-50,M,1,B,5+,13,P00038249,40.0,12578.658536585366
46-50,M,1,A,1,16,P00003492,36.0,10275.05
26-35,M,0,B,2,4,P00001790,6.0,1011.9090909090909
51-55,F,1,C,1,20,P00013748,28.0,11444.645833333334
36-45,M,0,B,1,5,P00006098,7.0,3332.5
51-55,F,1,B,4,3,P00000573,10.0,6749.021276595745
55+,F,1,C,5+,3,P00000215,9.0,8046.604651162791
51-55,F,1,B,5+,3,P00000573,20.0,11318.772727272728
46-50,M,1,B,4,12,P00000925,30.0,5536.714285714285
55+,F,1,C,1,5,P00000404,10.0,8671.272727272728
18-25,M,0,A,3,4,P00024486,6.0,6331.636363636364
55+,F,1,C,1,2,P00041118,9.0,6173.857142857143
36-45,M,0,A,5+,3,P00072407,20.0,5740.808510638298
36-45,M,0,B,2,5,P00004898,16.0,4786.176470588235
26-35,M,0,A,3,16,P00018089,18.0,4182.3
26-35,M,0,A,5+,8,P00001802,18.0,7464.688888888889
51-55,F,1,C,4,14,P00005989,7.0,7040.333333333333
26-35,M,0,A,4,3,P00000772,36.0,6075.108695652174
51-55,F,1,C,4,8,P00020771,3.0,2587.5
46-50,M,1,B,4,3,P00003382,40.0,13363.479166666666
36-45,M,0,A,3,3,P00042035,20.0,5416.46511627907
51-55,F,1,B,4,12,P00001853,40.0,6762.583333333333
55+,F,1,C,1,10,P00012510,28.0,4626.75
26-35,M,0,B,5+,10,P00006011,4.0,4109.666666666667
26-35,M,0,A,3,11,P00063630,14.0,12113.38
46-50,F,1,B,3,20,P00024866,39.0,12664.065217391304
26-35,M,0,A,2,13,P00000070,18.0,12556.02564102564
36-45,M,1,A,5+,3,P00034037,11.0,15989.8
26-35,M,0,B,2,16,P00004911,36.0,4248.277777777777
36-45,F,1,B,2,4,P00009923,28.0,5790.333333333333
51-55,F,1,C,5+,1,P00003658,20.0,8027.12
51-55,F,1,B,5+,3,P00003982,9.0,11981.0
26-35,M,0,A,4,3,P00030169,42.0,9432.731707317073
26-35,M,0,A,3,8,P00004424,20.0,8218.222222222223
55+,F,1,C,2,10,P00028552,20.0,2800.0666666666666
51-55,F,1,B,4,17,P00055045,36.0,7022.880952380952
0-17,M,0,A,1,4,P00000953,40.0,2601.8947368421054
36-45,M,1,A,3,3,P00022259,10.0,12258.767441860466
0-17,M,0,A,1,15,P00013694,40.0,2956.529411764706
55+,F,1,C,2,4,P00008017,40.0,5708.384615384615
36-45,F,1,B,2,15,P00006603,14.0,4565.461538461538
51-55,F,1,C,2,4,P00020888,40.0,2574.6666666666665
36-45,M,0,A,5+,3,P00000101,36.0,12711.30303030303
55+,F,1,C,5+,11,P00004622,30.0,9093.923076923076
26-35,M,0,A,1,3,P00002274,13.0,9617.225806451614
51-55,F,1,B,4,3,P00099152,10.0,6825.808510638298
36-45,M,1,A,2,18,P00000743,40.0,14451.09677419355
26-35,M,0,A,2,18,P00059484,20.0,13586.045454545454
55+,F,1,C,3,5,P00006603,12.0,3437.684210526316
46-50,F,1,B,2,3,P00000404,7.0,12781.645161290322
51-55,F,1,B,1,3,P00000526,28.0,9507.365853658537
18-25,M,0,A,1,4,P00007524,7.0,6368.727272727273
51-55,F,1,C,1,17,P00002675,30.0,4399.55
46-50,F,1,B,2,3,P00005621,16.0,6221.4
36-45,M,1,A,3,3,P00000526,12.0,13353.837837837838
36-45,M,1,A,3,3,P00003382,30.0,7855.606060606061
51-55,F,1,B,5+,3,P00053573,22.0,10445.21875
26-35,M,0,A,3,11,P00082159,10.0,7124.475
46-50,F,1,C,2,10,P00016700,36.0,2525.0
46-50,F,1,B,2,3,P00046716,13.0,13190.906976744185
51-55,F,1,B,5+,3,P00097209,30.0,6987.8125
18-25,M,0,A,1,5,P00006962,24.0,5219.615384615385
51-55,F,1,B,5+,20,P00007781,14.0,12976.032258064517
46-50,F,1,B,1,1,P00040834,10.0,8191.916666666667
0-17,M,0,A,2,4,P00017389,12.0,4733.8
51-55,F,1,B,5+,8,P00020505,36.0,6323.511111111111
46-50,F,1,B,3,3,P00000953,20.0,12031.74358974359
46-50,M,1,B,5+,3,P00020505,20.0,9166.183673469388
26-35,M,0,A,2,3,P00003382,40.0,12076.3
0-17,M,0,A,1,12,P00013739,20.0,5652.2
46-50,F,1,B,1,8,P00005873,10.0,2130.9
51-55,F,1,B,3,11,P00000247,7.0,6245.3
46-50,F,1,B,3,16,P00006347,4.0,6941.214285714285
46-50,M,1,B,5+,11,P00002152,27.0,6349.243902439024
