User_Age,User_Gender,User_Marital_Status,User_City_Category,User_Stay,User_Favourite_Category,User_Favourite_Category_Ratio,User_Favourite_Product,User_Favourite_Product_Ratio,User_Favourite_Subcategory,User_Favourite_Subcategory_Ratio,User_Purchase_Std,Purchase_Avg
0-17,M,0,A,3,3,0.13333333333333333,P00001708,0.06666666666666667,7.0,0.13333333333333333,4856.815718535091,4502.733333333334
26-35,M,0,B,1,3,0.13333333333333333,P00001790,0.06666666666666667,20.0,0.13333333333333333,8228.688186258285,6640.866666666667
0-17,M,0,A,2,10,0.2631578947368421,P00003088,0.05263157894736842,8.0,0.10526315789473684,6290.753816431492,2772.3684210526317
55+,F,1,C,3,4,0.23529411764705882,P00004232,0.058823529411764705,20.0,0.11764705882352941,7769.35829263986,4812.823529411765
36-45,M,1,A,4,20,0.14634146341463414,P00007161,0.04878048780487805,7.0,0.14634146341463414,9103.989731859592,13317.634146341463
51-55,F,1,C,5+,11,0.14893617021276595,P00000238,0.02127659574468085,30.0,0.1276595744680851,5692.269621759718,6331.340425531915
55+,F,1,C,4,12,0.15,P00000925,0.025,9.0,0.15,7143.218608744079,6992.6
36-45,M,0,A,3,9,0.23076923076923078,P00004405,0.07692307692307693,10.0,0.15384615384615385,4285.459395533836,8187.307692307692
55+,F,1,C,1,10,0.16666666666666666,P00005451,0.05555555555555555,8.0,0.1111111111111111,5615.123732042223,2994.9444444444443
36-45,M,1,A,1,3,0.2,P00000809,0.025,24.0,0.1,9952.535475947823,10520.4
26-35,M,0,A,5+,3,0.16666666666666666,P00007816,0.027777777777777776,28.0,0.1111111111111111,10762.143910006154,12231.055555555555
51-55,F,1,C,2,5,0.17647058823529413,P00004002,0.058823529411764705,21.0,0.17647058823529413,7672.535159868071,5982.823529411765
51-55,F,1,C,2,4,0.2857142857142857,P00000404,0.07142857142857142,4.0,0.07142857142857142,9631.709773987674,5405.357142857143
51-55,F,1,B,5+,12,0.1111111111111111,P00000148,0.022222222222222223,20.0,0.13333333333333333,6514.439596431572,6125.288888888889
26-35,M,0,A,1,20,0.21212121212121213,P00001803,0.030303030303030304,14.0,0.12121212121212122,9434.081287873883,12931.939393939394
51-55,F,1,C,5+,8,0.17647058823529413,P00002892,0.058823529411764705,3.0,0.058823529411764705,5585.177494019853,3770.529411764706
55+,F,1,C,2,10,0.1590909090909091,P00000148,0.022727272727272728,27.0,0.09090909090909091,6317.469626647619,6221.568181818182
51-55,F,1,C,4,3,0.16326530612244897,P00029768,0.061224489795918366,36.0,0.12244897959183673,6044.526990448907,6454.591836734694
46-50,M,1,B,5+,1,0.13043478260869565,P00000238,0.021739130434782608,10.0,0.06521739130434782,6204.253775018468,7126.369565217391
26-35,M,0,A,2,15,0.29411764705882354,P00003451,0.058823529411764705,20.0,0.11764705882352941,9396.101943640997,4143.882352941177
51-55,F,1,C,2,10,0.3076923076923077,P00017122,0.07692307692307693,36.0,0.3076923076923077,6109.41082181773,3838.6153846153848
0-17,M,0,A,1,5,0.38461538461538464,P00006011,0.07692307692307693,36.0,0.15384615384615385,4543.563191412547,3508.153846153846
26-35,M,0,B,1,16,0.29411764705882354,P00000573,0.058823529411764705,20.0,0.11764705882352941,7431.258264231293,4647.470588235294
46-50,M,1,B,5+,3,0.125,P00053573,0.05,20.0,0.125,8736.571666358048,10358.925
55+,F,1,C,2,10,0.16326530612244897,P00078656,0.04081632653061224,40.0,0.10204081632653061,4843.2354841502365,5827.591836734694
18-25,M,0,A,1,17,0.2,P00000610,0.05,4.0,0.1,3122.8015572222125,1940.25
0-17,M,0,A,1,16,0.1875,P00000947,0.0625,36.0,0.125,5369.56176827619,4119.375
55+,F,1,C,4,11,0.17073170731707318,P00098422,0.04878048780487805,14.0,0.07317073170731707,4942.408056931309,5200.268292682927
36-45,F,1,B,2,16,0.23529411764705882,P00093340,0.11764705882352941,9.0,0.11764705882352941,6773.394546593571,5164.058823529412
46-50,F,1,B,3,3,0.20512820512820512,P00019327,0.05128205128205128,10.0,0.07692307692307693,9689.38498805232,13261.97435897436
55+,F,1,C,5+,11,0.11904761904761904,P00045213,0.047619047619047616,7.0,0.09523809523809523,6104.331094327647,6877.809523809524
36-45,M,0,B,1,17,0.25,P00017147,0.0625,30.0,0.25,5834.5549041179365,3920.4375
46-50,F,1,B,2,3,0.22,P00034573,0.04,42.0,0.1,9188.643143932111,9779.5
0-17,M,0,A,1,3,0.23529411764705882,P00080114,0.11764705882352941,36.0,0.11764705882352941,7663.831882136185,5353.35294117647
51-55,F,1,C,3,8,0.21052631578947367,P00005057,0.05263157894736842,6.0,0.10526315789473684,7915.693119086638,7060.0
46-50,M,1,A,2,11,0.13636363636363635,P00055541,0.045454545454545456,28.0,0.09090909090909091,7880.878036843786,8457.295454545454
46-50,F,1,B,2,10,0.18181818181818182,P00012687,0.09090909090909091,9.0,0.18181818181818182,3965.627145174575,2857.3636363636365
46-50,F,1,B,4,3,0.23684210526315788,P00000947,0.02631578947368421,7.0,0.07894736842105263,9866.48658045962,12589.736842105263
26-35,M,0,A,1,3,0.16216216216216217,P00003382,0.02702702702702703,20.0,0.10810810810810811,8885.212729290433,11507.756756756757
26-35,M,0,A,5+,17,0.13953488372093023,P00000549,0.023255813953488372,40.0,0.20930232558139536,7016.720762122368,8529.279069767443
26-35,M,0,A,2,9,0.2727272727272727,P00001790,0.09090909090909091,14.0,0.09090909090909091,7090.893822361183,7426.0
36-45,M,0,A,5+,11,0.12244897959183673,P00000925,0.02040816326530612,30.0,0.12244897959183673,4131.840318697916,5240.448979591837
26-35,M,0,A,1,3,0.24390243902439024,P00004270,0.024390243902439025,10.0,0.07317073170731707,9721.177746448668,13421.853658536585
26-35,M,0,A,2,20,0.17142857142857143,P00004649,0.02857142857142857,13.0,0.11428571428571428,8721.106713942123,12349.514285714286
51-55,F,1,C,4,3,0.1111111111111111,P00002627,0.022222222222222223,36.0,0.08888888888888889,6770.330858035871,8429.6
0-17,M,0,A,4,5,0.18181818181818182,P00009690,0.09090909090909091,20.0,0.2727272727272727,3460.819679576711,2265.6363636363635
55+,F,1,C,1,4,0.2,P00000809,0.05,20.0,0.1,3581.2707903318637,2274.5
51-55,F,1,C,4,3,0.08695652173913043,P00001383,0.021739130434782608,7.0,0.08695652173913043,8705.547257449747,7947.282608695652
46-50,F,1,B,2,10,0.2777777777777778,P00010737,0.05555555555555555,16.0,0.1111111111111111,10081.150166672775,7668.722222222223
55+,F,1,C,5+,3,0.14285714285714285,P00000770,0.023809523809523808,28.0,0.09523809523809523,6186.512595436619,6640.833333333333
26-35,M,0,A,1,3,0.23529411764705882,P00001229,0.058823529411764705,4.0,0.11764705882352941,8070.011961959937,5061.235294117647
55+,F,1,C,5+,3,0.125,P00029278,0.05,7.0,0.15,8038.608460033239,9520.025
26-35,M,0,A,2,7,0.25,P00008171,0.08333333333333333,7.0,0.16666666666666666,5592.577784235751,9923.5
18-25,M,0,A,1,16,0.1875,P00009330,0.0625,30.0,0.125,2833.1120815574286,1858.25
26-35,M,0,A,1,3,0.16129032258064516,P00002627,0.03225806451612903,35.0,0.0967741935483871,10310.401108870907,11899.322580645161
36-45,M,0,A,4,11,0.125,P00000526,0.025,40.0,0.1,6250.815921305895,6643.4
0-17,M,0,A,2,4,0.21428571428571427,P00002002,0.07142857142857142,3.0,0.07142857142857142,5234.760999823652,4551.428571428572
46-50,M,1,B,3,6,0.13953488372093023,P00054357,0.046511627906976744,27.0,0.11627906976744186,7150.383564741375,7529.139534883721
26-35,M,0,A,1,18,0.1794871794871795,P00006603,0.02564102564102564,7.0,0.10256410256410256,9864.792601888426,13842.358974358975
51-55,F,1,B,3,9,0.14285714285714285,P00000238,0.023809523809523808,30.0,0.09523809523809523,6587.555996892559,8588.5
46-50,M,1,A,2,20,0.16,P00000337,0.02,20.0,0.08,10759.945487685294,12051.2
36-45,M,0,B,2,8,0.15,P00004622,0.05,18.0,0.15,8133.426702422799,6213.65
46-50,F,1,B,3,8,0.2,P00012621,0.06666666666666667,9.0,0.26666666666666666,4146.590300935158,4761.866666666667
55+,F,1,C,4,8,0.16666666666666666,P00000205,0.023809523809523808,10.0,0.09523809523809523,5188.388129254686,5986.285714285715
26-35,M,0,A,1,12,0.2857142857142857,P00004622,0.07142857142857142,35.0,0.14285714285714285,5801.046635386934,7099.285714285715
55+,F,1,C,2,4,0.25,P00000795,0.08333333333333333,40.0,0.3333333333333333,2214.471294380752,1511.25
55+,F,1,C,5+,8,0.2,P00000070,0.025,20.0,0.075,6675.962656791288,6531.7
36-45,F,1,B,1,3,0.26666666666666666,P00001853,0.06666666666666667,6.0,0.06666666666666667,7605.705263312597,3716.5333333333333
26-35,M,0,A,2,3,0.125,P00007305,0.05,20.0,0.125,9107.019911366486,11653.025
55+,F,1,C,1,10,0.2,P00004270,0.06666666666666667,24.0,0.13333333333333333,6291.513239125802,4826.866666666667
46-50,F,1,B,3,3,0.23809523809523808,P00055038,0.047619047619047616,7.0,0.07142857142857142,9922.993495616805,12490.190476190477
55+,F,1,C,5+,3,0.1111111111111111,P00014365,0.05555555555555555,27.0,0.08333333333333333,8741.062670994526,8304.194444444445
26-35,M,0,A,5+,3,0.20930232558139536,P00013089,0.046511627906976744,20.0,0.09302325581395349,9404.723611943853,11397.209302325582
55+,F,1,C,3,12,0.1111111111111111,P00024866,0.05555555555555555,39.0,0.08333333333333333,10234.302226507289,11677.222222222223
26-35,M,0,A,4,3,0.25,P00088589,0.16666666666666666,27.0,0.25,6458.423451375167,7001.25
46-50,F,1,C,2,14,0.2,P00082148,0.1,27.0,0.1,7463.84471971383,5296.0
46-50,M,1,A,5+,11,0.12,P00059189,0.04,28.0,0.12,6239.01805866328,7576.52
55+,F,1,C,5+,11,0.11904761904761904,P00000221,0.023809523809523808,10.0,0.11904761904761904,7287.003022660607,7622.857142857143
55+,F,1,C,2,17,0.2,P00000718,0.05,8.0,0.1,6707.878663811761,4460.8
26-35,M,0,A,5+,11,0.13953488372093023,P00001029,0.023255813953488372,36.0,0.13953488372093023,4527.275698505323,5098.813953488372
51-55,F,1,B,3,10,0.1875,P00006962,0.0625,9.0,0.125,4249.533896009459,5079.75
26-35,M,0,A,1,17,0.21052631578947367,P00002733,0.05263157894736842,36.0,0.15789473684210525,5464.221872555563,4102.684210526316
51-55,F,1,C,2,5,0.17647058823529413,P00014993,0.058823529411764705,4.0,0.058823529411764705,10266.321159714991,7115.176470588235
26-35,M,0,A,2,3,0.21212121212121213,P00055340,0.06060606060606061,28.0,0.12121212121212122,9978.360802692601,12838.60606060606
36-45,F,1,B,2,5,0.2631578947368421,P00000518,0.05263157894736842,28.0,0.15789473684210525,2535.41605753283,1281.157894736842
26-35,M,0,A,1,13,0.16279069767441862,P00095328,0.046511627906976744,44.0,0.11627906976744186,8725.571178999027,9815.06976744186
51-55,F,1,B,5+,3,0.16666666666666666,P00000070,0.023809523809523808,27.0,0.11904761904761904,7815.560006738575,7512.309523809524
26-35,M,0,A,1,12,0.21428571428571427,P00006347,0.07142857142857142,18.0,0.2857142857142857,3769.2263386944137,8424.5
46-50,M,1,B,5+,11,0.1590909090909091,P00000404,0.022727272727272728,10.0,0.11363636363636363,7282.606817561733,7873.181818181818
36-45,F,1,B,4,12,0.2,P00001156,0.1,3.0,0.1,6984.172881912677,8445.2
26-35,M,0,A,2,3,0.21739130434782608,P00092450,0.043478260869565216,28.0,0.10869565217391304,10043.175654231043,12349.021739130434
36-45,M,1,A,1,13,0.16129032258064516,P00001282,0.03225806451612903,13.0,0.16129032258064516,9752.07954905941,12777.741935483871
46-50,F,1,B,3,18,0.15555555555555556,P00083623,0.044444444444444446,18.0,0.08888888888888889,9798.157226146293,13141.488888888889
51-55,F,1,C,1,13,0.13333333333333333,P00041436,0.044444444444444446,11.0,0.08888888888888889,10456.114864885369,14937.422222222222
46-50,M,1,A,4,12,0.12244897959183673,P00000105,0.02040816326530612,20.0,0.08163265306122448,7629.234512659162,7635.7959183673465
0-17,M,0,A,2,5,0.2,P00002264,0.06666666666666667,27.0,0.2,6622.180854270493,5523.133333333333
55+,F,1,C,1,5,0.15384615384615385,P00006705,0.07692307692307693,28.0,0.15384615384615385,6433.508061264785,3654.846153846154
46-50,M,1,B,1,12,0.17391304347826086,P00008131,0.021739130434782608,9.0,0.08695652173913043,6293.411029557543,8137.45652173913
51-55,F,1,C,1,10,0.25,P00001039,0.05,4.0,0.1,6501.504393519038,4433.7
18-25,M,0,A,2,4,0.18181818181818182,P00006347,0.09090909090909091,6.0,0.09090909090909091,5891.459615409411,4284.0
55+,F,1,C,4,10,0.14,P00037226,0.04,7.0,0.1,7099.04298295746,6520.46
46-50,M,1,A,5+,3,0.16326530612244897,P00057355,0.04081632653061224,36.0,0.14285714285714285,5845.34921756948,6720.938775510204
36-45,M,0,A,2,3,0.36363636363636365,P00009929,0.09090909090909091,5.0,0.09090909090909091,10069.15983675807,12097.727272727272
55+,F,1,C,1,16,0.3333333333333333,P00005311,0.06666666666666667,18.0,0.13333333333333333,3667.4911237598303,1751.0
46-50,M,1,A,5+,11,0.13333333333333333,P00056609,0.044444444444444446,40.0,0.1111111111111111,6238.25574503034,7574.622222222222
36-45,M,1,A,5+,3,0.175,P00003227,0.025,14.0,0.075,9326.027828279635,11138.35
26-35,M,0,A,3,3,0.125,P00002538,0.020833333333333332,18.0,0.0625,9575.19646963867,11773.8125
36-45,M,1,A,1,3,0.20833333333333334,P00023477,0.041666666666666664,20.0,0.125,8963.15659830139,12959.416666666666
26-35,M,0,B,1,10,0.2,P00003936,0.1,4.0,0.1,5978.578426348525,3978.0
26-35,M,0,B,1,3,0.25,P00002152,0.0625,40.0,0.1875,9605.09893385626,5932.0625
0-17,M,0,A,1,16,0.3,P00017299,0.1,20.0,0.2,7087.349923161219,3418.4
26-35,M,0,A,4,17,0.18,P00000610,0.02,30.0,0.12,9118.268378930512,8042.12
51-55,F,1,B,1,3,0.2,P00020845,0.1,44.0,0.2,10501.603945747209,14088.9
36-45,M,0,A,4,3,0.18181818181818182,P00012617,0.045454545454545456,4.0,0.06818181818181818,6673.575976883675,6423.227272727273
55+,F,1,C,2,17,0.26666666666666666,P00009929,0.06666666666666667,30.0,0.2,6882.69431462501,3858.2
26-35,M,0,A,4,17,0.12244897959183673,P00037149,0.04081632653061224,10.0,0.12244897959183673,7572.747047656426,7835.163265306122
0-17,M,0,A,2,10,0.25,P00005758,0.08333333333333333,4.0,0.16666666666666666,3326.8973932406625,1972.4166666666667
46-50,M,1,A,3,3,0.1956521739130435,P00009397,0.043478260869565216,7.0,0.13043478260869565,7151.03945648551,7906.739130434783
18-25,M,0,A,3,17,0.2727272727272727,P00000404,0.09090909090909091,24.0,0.18181818181818182,8753.204433494368,5025.636363636364
51-55,F,1,C,2,20,0.15,P00001383,0.05,6.0,0.1,9280.586457620468,6189.05
36-45,M,0,B,1,17,0.23529411764705882,P00081143,0.11764705882352941,24.0,0.11764705882352941,5998.881556909048,3952.9411764705883
0-17,M,0,A,1,5,0.2,P00001110,0.05,16.0,0.1,6909.639733924741,4024.9
26-35,M,0,A,2,3,0.11904761904761904,P00005857,0.023809523809523808,20.0,0.07142857142857142,9691.748892707812,12799.714285714286
51-55,F,1,C,5+,3,0.16279069767441862,P00003072,0.023255813953488372,40.0,0.09302325581395349,7450.526905490324,7473.790697674419
46-50,F,1,B,2,17,0.23529411764705882,P00003658,0.058823529411764705,36.0,0.17647058823529413,5371.503317480674,2542.529411764706
26-35,M,0,A,4,3,0.16326530612244897,P00000573,0.02040816326530612,40.0,0.10204081632653061,8991.000710981172,11455.918367346938
46-50,F,1,B,5+,3,0.16666666666666666,P00019327,0.041666666666666664,40.0,0.08333333333333333,8112.728762114621,11861.895833333334
51-55,F,1,C,2,5,0.2,P00022688,0.06666666666666667,30.0,0.2,9011.62411766576,7253.666666666667
36-45,M,1,A,4,18,0.12244897959183673,P00046817,0.04081632653061224,42.0,0.10204081632653061,10056.11793550688,12554.673469387755
36-45,M,1,A,5+,13,0.16666666666666666,P00002352,0.023809523809523808,20.0,0.09523809523809523,8388.328512385964,13603.5
51-55,F,1,B,4,3,0.1702127659574468,P00086813,0.0425531914893617,20.0,0.0851063829787234,6514.75367407376,6838.851063829788
0-17,M,0,A,2,4,0.2222222222222222,P00003235,0.05555555555555555,16.0,0.1111111111111111,2116.025831662137,1198.4444444444443
26-35,M,0,A,4,8,0.16666666666666666,P00006542,0.03333333333333333,10.0,0.06666666666666667,11436.147156647896,12303.266666666666
26-35,M,0,A,5+,3,0.14705882352941177,P00042825,0.058823529411764705,13.0,0.08823529411764706,10021.619499381044,13586.941176470587
51-55,F,1,B,1,3,0.2564102564102564,P00039784,0.05128205128205128,7.0,0.10256410256410256,9972.933079279068,12206.51282051282
26-35,M,0,B,1,16,0.29411764705882354,P00008131,0.058823529411764705,14.0,0.11764705882352941,7949.6608381223705,4756.764705882353
18-25,M,0,A,2,4,0.26666666666666666,P00012080,0.06666666666666667,16.0,0.13333333333333333,8252.975824051646,6463.666666666667
46-50,F,1,B,5+,3,0.24390243902439024,P00003982,0.04878048780487805,21.0,0.0975609756097561,8193.87446354838,9305.975609756097
26-35,M,0,A,4,3,0.28888888888888886,P00079475,0.044444444444444446,40.0,0.13333333333333333,9078.439393876175,13455.888888888889
18-25,M,0,A,2,10,0.2,P00027896,0.06666666666666667,40.0,0.2,5569.267015975988,4789.333333333333
36-45,F,1,B,1,10,0.2,P00012783,0.06666666666666667,7.0,0.13333333333333333,8280.734515959894,5754.133333333333
55+,F,1,C,1,10,0.2857142857142857,P00008353,0.07142857142857142,42.0,0.2857142857142857,5534.771161275985,4231.5
51-55,F,1,C,2,19,0.13636363636363635,P00072677,0.045454545454545456,40.0,0.11363636363636363,8989.999636429475,10670.454545454546
26-35,M,0,A,4,3,0.17777777777777778,P00021723,0.044444444444444446,40.0,0.1111111111111111,9441.753476131455,12978.977777777778
26-35,M,0,B,3,6,0.23529411764705882,P00002002,0.058823529411764705,6.0,0.11764705882352941,5366.398023129393,4621.35294117647
0-17,M,0,A,1,5,0.15,P00064596,0.1,6.0,0.1,10935.388911333024,6303.3
36-45,M,0,B,2,3,0.15384615384615385,P00008564,0.07692307692307693,6.0,0.07692307692307693,7108.258360743293,6103.615384615385
51-55,F,1,C,2,4,0.2857142857142857,P00000285,0.07142857142857142,24.0,0.14285714285714285,1300.4574448762505,1016.2142857142857
46-50,M,1,B,3,11,0.14634146341463414,P00001575,0.024390243902439025,13.0,0.07317073170731707,9462.407736831507,10616.146341463415
36-45,M,1,A,5+,18,0.20512820512820512,P00034573,0.05128205128205128,42.0,0.1282051282051282,9023.083321319924,13303.538461538461
55+,F,1,C,2,20,0.17391304347826086,P00004622,0.021739130434782608,40.0,0.08695652173913043,8757.144391204578,11407.021739130434
46-50,M,1,B,1,12,0.15555555555555556,P00006705,0.044444444444444446,36.0,0.08888888888888889,6570.54575358851,6852.0
36-45,M,0,A,2,3,0.1836734693877551,P00001576,0.02040816326530612,20.0,0.12244897959183673,10618.588851663872,11780.612244897959
26-35,M,0,A,4,18,0.13043478260869565,P00034489,0.043478260869565216,30.0,0.08695652173913043,9111.794705096581,11192.08695652174
46-50,M,1,A,4,6,0.10638297872340426,P00080853,0.0425531914893617,42.0,0.1276595744680851,9423.47226160877,11429.72340425532
26-35,M,0,A,4,10,0.16666666666666666,P00001409,0.023809523809523808,14.0,0.07142857142857142,7802.69794241735,7129.880952380952
46-50,M,1,B,2,12,0.21428571428571427,P00030158,0.047619047619047616,9.0,0.07142857142857142,7072.866564444976,7610.023809523809
55+,F,1,C,2,10,0.23076923076923078,P00002627,0.07692307692307693,4.0,0.15384615384615385,6149.3750610143825,4347.153846153846
46-50,M,1,A,5+,3,0.18604651162790697,P00047031,0.046511627906976744,36.0,0.13953488372093023,7523.333704321381,6398.790697674419
26-35,M,0,A,2,5,0.15789473684210525,P00011129,0.05263157894736842,20.0,0.15789473684210525,9589.6891667973,6197.263157894737
51-55,F,1,B,1,12,0.3333333333333333,P00087756,0.1111111111111111,7.0,0.16666666666666666,3837.787451923802,6404.944444444444
26-35,M,0,A,4,3,0.125,P00001455,0.025,18.0,0.075,7560.327689106251,6876.45
36-45,M,1,A,1,3,0.125,P00001409,0.020833333333333332,21.0,0.10416666666666667,8190.068135806255,6648.625
36-45,M,0,A,4,8,0.13043478260869565,P00005989,0.021739130434782608,7.0,0.08695652173913043,7132.2792172523805,7566.521739130435
36-45,M,0,A,5+,17,0.1836734693877551,P00000925,0.02040816326530612,18.0,0.061224489795918366,5852.400052542547,5352.285714285715
18-25,M,0,A,1,10,0.16666666666666666,P00000718,0.05555555555555555,18.0,0.2222222222222222,6203.251396030386,3994.0
51-55,F,1,C,3,5,0.2,P00005612,0.1,28.0,0.2,4163.582118267341,2219.5
51-55,F,1,C,4,11,0.23076923076923078,P00010273,0.07692307692307693,9.0,0.15384615384615385,3579.1830198724947,7600.384615384615
26-35,M,0,A,3,3,0.13953488372093023,P00006347,0.023255813953488372,40.0,0.11627906976744186,8053.940492883063,12493.67441860465
18-25,M,0,A,5+,17,0.25,P00001039,0.0625,7.0,0.0625,6565.980319990306,4325.6875
26-35,M,0,B,5+,5,0.18181818181818182,P00011310,0.09090909090909091,40.0,0.18181818181818182,8061.670717886979,5311.181818181818
26-35,M,0,A,2,10,0.18181818181818182,P00063082,0.06060606060606061,22.0,0.09090909090909091,10443.621084654904,11456.787878787878
46-50,M,1,B,4,12,0.14893617021276595,P00000573,0.02127659574468085,10.0,0.0851063829787234,7100.866385817452,7004.489361702128
46-50,F,1,B,2,3,0.3,P00015036,0.1,30.0,0.2,8599.855908999612,10727.9
36-45,M,0,A,3,3,0.20588235294117646,P00001156,0.029411764705882353,20.0,0.08823529411764706,8333.851090368422,9569.941176470587
55+,F,1,C,5+,12,0.125,P00001575,0.025,21.0,0.1,7577.669902840204,8433.85
18-25,M,0,A,5+,17,0.2,P00002675,0.05,24.0,0.1,6720.09210835215,4152.55
46-50,M,1,B,4,12,0.12,P00007255,0.02,27.0,0.12,6572.757541053023,7088.98
51-55,F,1,B,3,6,0.25,P00005621,0.0625,27.0,0.125,3854.810916244791,6219.0
36-45,M,0,A,4,3,0.2,P00001576,0.05,10.0,0.15,5627.427004834167,7081.8
46-50,F,1,B,5+,3,0.23529411764705882,P00014175,0.058823529411764705,40.0,0.11764705882352941,6480.556847896909,7455.941176470588
36-45,M,0,B,1,10,0.16666666666666666,P00028084,0.08333333333333333,20.0,0.16666666666666666,11247.33636716092,7108.083333333333
46-50,M,1,B,1,3,0.21951219512195122,P00002370,0.024390243902439025,7.0,0.12195121951219512,9377.50633131764,13506.609756097561
26-35,M,0,A,3,3,0.17647058823529413,P00002627,0.029411764705882353,42.0,0.14705882352941177,9334.112783518138,13166.617647058823
18-25,M,0,A,5+,5,0.15,P00002002,0.05,7.0,0.15,5326.367444634586,4726.05
55+,F,1,C,5+,3,0.17142857142857143,P00062718,0.08571428571428572,24.0,0.14285714285714285,9579.954522444292,13347.371428571429
